title,company,location,contract
کارشناس تست نرمافزار (Software Test Specialist),ماهان وب گستر آویژه | Mahan Web Gostar Avizhe,تهران، تهران,قرارداد تماموقت  
برنامهنویس جاوا (Java Developer),ماهان وب گستر آویژه | Mahan Web Gostar Avizhe,تهران، تهران,قرارداد تماموقت  
برنامهنویس Oracle PL/SQL,بهپرداز جهان | Behpardaz Jahan,تهران، تهران,قرارداد تماموقت  
توسعهدهندهی بازی (Unity-آقا-کرج),نهال‌گشت | NahalGasht,البرز، کرج,قرارداد تماموقت  
کارشناس تست منوال نرم افزار (مشهد),گروه نرم افزاری پارت | Part Software Group,خراسان رضوی، مشهد,قرارداد تماموقت  
کارشناس تست خودکار نرمافزار (مشهد),گروه نرم افزاری پارت | Part Software Group,خراسان رضوی، مشهد,قرارداد تماموقت  
Prompt Engineer (مشهد),میراث ملک | mirasmelk,خراسان رضوی، مشهد,قرارداد تماموقت  
کارشناس  SOC-Tier2,مدیریت فناوری بورس تهران | Tehran Securities Exchange Technology Management Co,تهران، تهران,قرارداد تماموقت  
برنامهنویس هوش مصنوعی (AI),آرمان رایان شریف | Arman Rayan Sharif,تهران، تهران,قرارداد تماموقت  
برنامهنویس C++ (کرج),نرم افزاری امن پرداز | Amn Pardaz,البرز، کرج,قرارداد تماموقت  
Oracle Apex Developer,فرافن | Farafan,تهران، تهران,قرارداد تماموقت  
برنامهنویس هوش مصنوعی,تارت | Tart,تهران، تهران,قرارداد تماموقت  
Senior JAVA Developer,خبره پرداز پارس | Khebre Pardaaz Pars,تهران، تهران,قرارداد تماموقت  
کارشناس استقرار سیستم های نرمافزاری (زنجان),داده پردازان دوران | Douran Information Technologies,زنجان، زنجان,قرارداد تماموقت  
Senior Back-End Developer (.NET),آپتایم | OPTime,تهران، تهران,قرارداد تماموقت  
برنامهنویس Microsoft Dynamics CRM,گستره نگار | GNCO,تهران، تهران,قرارداد تماموقت  
برنامهنویس PHP) Back-End-قم),مرکز داده امین (عصر پردازش اطلاعات امین) | Amin Internet Data Center,قم، قم,قرارداد تماموقت  
کارشناس تست و تحلیل نرمافزار (اصفهان),دانش بنیان مهندسی ارتباطی پیام پرداز | Payam Pardaz,اصفهان، اصفهان,قرارداد تماموقت  
Product Owner (دورکاری),وب اسمارت | Web Smart,تهران، تهران,قرارداد دورکاری  
برنامهنویس Oracle PL/SQL,توسعه سامانه‌های نرم‌افزاری نگین (توسن) | Tosan,تهران، تهران,قرارداد تماموقت  
Senior Full-Stack Developer,دانش بنیان مهندسی ارتباطی پیام پرداز | Payam Pardaz,تهران، تهران,قرارداد تماموقت  
کارشناس ارشد سئو,سنتردنت | Centerdent,تهران، تهران,قرارداد تماموقت  
QA Automation Engineer,روبه‌راه | Rooberah,تهران، تهران,قرارداد تماموقت  
کارشناس پشتیبانی (حوزه برنامهنویسی -خانم),رایان یافته رسا آموز | RIRA,تهران، تهران,قرارداد تماموقت  
Node.js-React) Senior Full-Stack Developer),پارس بنیان شبکه | Pars Bonyan Shabakeh,تهران، تهران,قرارداد پارهوقت  
کارشناس نرمافزار (خانم),رایان یافته رسا آموز | RIRA,تهران، تهران,قرارداد تماموقت  
Senior LLM/NLP Engineer (دورکاری),ایده سازان سین شمیران | SISHEMI,تهران، تهران,قرارداد دورکاری  
کارآموز برنامهنویسی Back-End,عصرمجازی | AsreMajazi,تهران، تهران,قرارداد تماموقت  
(Senior Software Engineer(Remote,روم ویو | RoomVu,تهران، تهران,قرارداد دورکاری  
کارمند پشتیبانی,پایشگران مديريت طرح | Payeshgaran MT,تهران، تهران,قرارداد تماموقت  
برنامهنویس Front-End,داده آفرین ویانا سامانه(داویس) | Davis,تهران، تهران,قرارداد تماموقت  
برنامهنویس وب (آقا),موسسه فرهنگی عمره سعادت | Omreh Saadat,تهران، تهران,قرارداد تماموقت  
برنامهنویس وب (Net.),رایان پرتونگار | Rayan Parto Negar,تهران، تهران,قرارداد تماموقت  
برنامهنویس هوش مصنوعی (AI-امریه-آقا-قم),مرکز تحقیقات کامپیوتری علوم اسلامی (نور) | CRCIS,قم، قم,قرارداد تماموقت  
برنامهنویس (Full-Stack (PHP,پارس بنیان شبکه | Pars Bonyan Shabakeh,تهران، تهران,قرارداد پارهوقت  
کارشناس سئو,تابش نور‌کویر | Tabeshnoorkavir,تهران، تهران,قرارداد تماموقت  
