title,company,location,contract
برنامهنویس WPF,کامیونر | Communere LTD,تهران، تهران,قرارداد پارهوقت  
برنامه نویس PHP Pure,بادونو | Baduno,تهران، تهران,قرارداد تماموقت  
Senior Full-Stack Developer (اصفهان),دانش بنیان مهندسی ارتباطی پیام پرداز | Payam Pardaz,اصفهان، اصفهان,قرارداد تماموقت  
SQL Server Database Developer (آقا),داده پردازی آرین سیستم | ArianSystem Co,تهران، تهران,قرارداد تماموقت  
کارشناس عملیات نرم افزار (بک آفیس),پرداخت الکترونیک سداد | Sadad PSP,تهران، تهران,قرارداد تماموقت  
برنامهنویس Golang (اصفهان),دانش بنیان مهندسی ارتباطی پیام پرداز | Payam Pardaz,اصفهان، اصفهان,قرارداد تماموقت  
Senior Angular Developer (اصفهان),دانش بنیان مهندسی ارتباطی پیام پرداز | Payam Pardaz,اصفهان، اصفهان,قرارداد تماموقت  
Laravel) PHP Developer-شیراز),آدرین ارتباط | AdrianErtebat,فارس، شیراز,قرارداد تماموقت  
برنامه نویس PHP,کارگاه توسعه نرم افزار گردون | Gardoon,تهران، تهران,قرارداد تماموقت  
برنامهنویس Front-End (دورکاری),اپتک | Apptech,تهران، تهران,قرارداد دورکاری  
برنامهنویس (Back-End (PHP,آرتان تجارت تورال سنا | Artan Tejarat Toral Sana Co,تهران، تهران,قرارداد تماموقت  
برنامهنویس Net Core.) Back-End),موربیت | Morbit,تهران، تهران,قرارداد تماموقت  
Frontend Developer (NuxtJS-دولت آباد-اصفهان),الکترونیک رهرو ماهان | Electronic Rahro Mahan,اصفهان، دولت آباد-اصفهان,قرارداد تماموقت  
Firmware Developer (مشهد),زیست فناوران اندیشه رستاک | zist fannavaran andishe rastak,خراسان رضوی، مشهد,قرارداد تماموقت  
برنامهنویس فول استک (مشهد),یوبر | Youber,خراسان رضوی، مشهد,قرارداد تماموقت  
برنامهنویس Front-End,توسعه الکترونیک دانش اترک | Tosee Electronic Danesh Atrak,تهران، تهران,قرارداد تماموقت  
اسکرام مستر (Scrum Master-دورکاری),پلات ست | plotset,تهران، تهران,قرارداد دورکاری  
کارشناس مرکز داده,فناوران شبکه سینداد | Sindad,تهران، تهران,قرارداد تماموقت  
کارشناس پشتیبانی فنی نرمافزار,فناوران اطلاعات وستا | Vesta Software,تهران، تهران,قرارداد تماموقت  
برنامهنویس PHP MySQL (سرور بازی-مشهد),پیکسل سازان | Pixelsazan,خراسان رضوی، مشهد,قرارداد تماموقت  
برنامهنویس Back-End(امریه سربازی-آقا),فناوران اطلاعات وستا | Vesta Software,تهران، تهران,قرارداد تماموقت  
کارآموز سئو(اصفهان),دیجیتال مارکتینگ جاویدان | digital marketing Javidan,اصفهان، اصفهان,قرارداد تماموقت  
کارشناس تست و مستندسازی نرمافزار,موسسه خدمات مدیریت و فناوری رشد قلم‌چی | GMTII,تهران، تهران,قرارداد تماموقت  
